CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000978;VIA PASQUALE TOLA;VIA PASQUALE PAOLI - VIA DANTE;;;;STORICO, MAGISTRATO E PARLAMENTARE.OPERE: CODEX DIPLOMATICUS SARDINIAE DIZIONARIO BIOGRAFICO DEGLI UOMINI ILLUSTRI DI SARDEGNA .(NATO A SASSARI NEL 1800 - MORTO A GENOVA 1874).;
092009_000979;VIA TOLMINO;VIA TRINCEA DEI RAZZI - VIA TIMAVO;1429;25/09/1951;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000980;VIA BERNARDINO TOLO;VIA TAMBURINO SARDO - (chiuso);850;27/03/1971;G.M.;MISSIONARIO SARDO CHE VISSE NEL PARAGUAY. (NATO A CAGLIARI NEL 1589 - MORTO AD ASSUNCION (PARAGUAY) NEL 1666).;
092009_000981;VIA NICOLO' TOMMASEO;VIALE MARCONI - PIAZZA GIOVANNI XXIII;83;27/12/1956;C.C.;LETTERATO.(NATO A SEBENICO NEL 1802 - MORTO A ROMA NEL 1874).;
092009_000982;VIA TONALE;VIA TRINCEA DEI RAZZI - VIA TRINCEA DELLE FRASCHE;2303;05/07/1968;G.M.;PASSO ALPINO DELL'ADAMELLO.;
092009_000983;VIA TORINO;PIAZZA MARTIRI D'ITALIA - VIA PORCILE;129;15/12/1900;G.M.;GIA' DISCESA DELLA VERGINE DI MONSERRATO E COLLE DI SANTA ROSALIA. CAPOLUOGO DEL PIEMONTE.;
092009_000984;VIA EVANGELISTA TORRICELLI;VIA DEL CANNETTO - VIA MATES;2679;29/07/1966;G.M.;FISICO, MATEMATICO, DISCEPOLO DEL GALILEI. INVENTORE DEL BAROMETRO.(NATO A FAENZA NEL 1608 - MORTO A FIRENZE NEL 1647).;
092009_000985;VIA DELLE TORTORE;VIA DELLE RONDINI - (chiuso);1706;14/05/1975;G.M.;STREPTOPELIA TURTURUCCELLO COLUMBIFORME DELLA FAMIGLIA DEI COLOMBIDI, SIMILE COME ASPETTO AI COLOMBI, MA PIU' PICCOLA E PIU' SLANCIATA; E' MIGRATRICE ESTIVA, IN ITALIA E' MOLTO COMUNE.SPECIE SIMILE DOMESTICA E' LA COLOMBA DAL COLLARE (STREPTOPELIA RISORIA);
092009_000986;VIA TOSCANA;VIA LA VEGA - VIA PIEMONTE;;;;REGIONE ITALIANA.;
092009_000987;VIA ENRICO TOTI;PIAZZA ITALIA - VIA BARRACCA MANNA;;;;EROE DELLA GUERRA 1915/18. (NATO NEL 1882 - MORTO NEL 1916).;
092009_000988;VIA DEI TRALCI;VIA BELLAVISTA - VIA DELL'EDERA;4799;16/11/1964;G.M.;;
092009_000989;VIA TRAMONTANA;VIALE POETTO - VIALE LA PALMA;2365;21/09/1961;G.M.;VENTO CHE SPIRA DA SETTENTRIONE, FREDDO E SECCO.;
092009_000990;VIA ISOLE TREMITI;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;GIA' TRAVERSA X POETTO. GRUPPO DI ISOLE A NORD/OVEST DEL PROMONTORIO DEL GARGANO.;
092009_000991;VIA TRENTINO;VIA LIGURIA - VIA BASILICATA;219;03/12/1925;C.P.;REGIONE ITALIANA.;
092009_000992;VIALE TRENTO;VIALE MERELLO - PIAZZA TRENTO;;;;CITTA' DEL TRENTINO.;
092009_000993;PIAZZA TRENTO;VIALE TRENTO - VIALE S. AVENDRACE;;;;;
092009_000994;VIA TREXENTA;VIA ARGIOLAS - VIA DELLE SPIGHE;1429;25/09/1951;G.M.;REGIONE DELLA SARDEGNA.;
092009_000995;VIA DEL TRICOLORE;VIA FOSSE ARDEATINE - VIA AMPERE;2666;13/09/1971;G.M.;LA BANDIERA ITALIANA.;
092009_000996;VIALE TRIESTE;PIAZZA DEL CARMINE - PIAZZA TRENTO;;;;GIA' STRADONE SAN PIETRO. CITTA ITALIANA, CAPOLUOGO DI PROVINCIA DEL FRIULI VENEZIA GIULIA.;
092009_000997;VIA TRINCEA DELLE FRASCHE;VIA IS MIRRIONIS - VIA MAGLIAS;1429;25/09/1951;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000998;VIA TRINCEA DEI RAZZI;VIA IS MIRRIONIS - VIA MAGLIAS;1429;25/09/1951;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000999;PIAZZA TRISTANI;VIA TRISTANI - VIA GIARDINI;;;;;
092009_001000;VIA TRISTANI;VIA GIARDINI - PIAZZA TRISTANI;;;;;
092009_001001;VIA DEI TRITONI;VIALE POETTO - VIA S'ARRULLONI;850;27/03/1971;G.M.;FIGURE MITOLOGICHE MARINE, RAFFIGURATE MEZZO UOMO E MEZZO DELFINO, SUONANTI UN CORNO A FORMA DI CHIOCCIOLA.;
092009_001002;VIA TURBIGO;VIA GOITO - (chiuso);;;;LOCALITA' DI BATTAGLIA SUL TICINO.;
092009_001003;VIA STEFANO TURR;VIA NINO BIXIO - VIA VESALIO;131;29/01/1980;G.M.;UFFICIALE UNGHERESE CHE DISERTO' PER ARRUOLARSI NELL'ESERCITO PIEMONTESE.PARTECIPO' ALLA SPEDIZIONE DEI MILLE.(NATO NEL 1825 - MORTO NEL 1908);
092009_001004;VIA GIOVANNI BATTISTA TUVERI;PIAZZA REPUBBLICA - VIA SCANO;;;;DEPUTATO AL PARLAMENTO IN DIVERSE LEGISLATURE, GIORNALISTA.OPERE: SPECIFICI DI G.B. TUVERI CONTRO IL CODINISMO IL GOVERNO E I COMUNI DELLA LIBERTA' E DELLE CASTE - DIRITTO DELL' UOMO ALLA DISTRUZIONE DEI CATTIVI GOVERNI (NATO A FORRU (OGGI COLLINAS) NEL 1815 - MORTO A FORRU NEL 1887);
092009_001005;COLLE TUVIXEDDU;(chiuso) - VIA BAINSIZZA;;;;DENOMINAZIONE TRADIZIONALE.;
092009_001006;COLLE TUVUMANNU;(chiuso) - VIA AGOSTINO CASTELLI;;;;;
092009_001007;VIA TUVUMANNU;VIA IS MIRRIONIS - (zona in sviluppo);2303;05/07/1968;G.M.;DENOMINAZIONE STORICA E TRADIZIONALE DEL LUOGO.;
092009_001008;VIA UBALDO DA PAGANELLO;VIA SERBARIU - VIA CINQUINI;850;27/03/1971;G.M.;CASTELLANO DI SAN MICHELE 1257.;
092009_001009;VIA UMBRIA;VIA LIGURIA - VIA BASILICATA;;;;REGIONE ITALIANA TRA LA TOSCANA, MARCHE E LAZIO.;
092009_001010;VIA UNIVERSITA';VIA SPANO - VIA CAMMINO NUOVO;;;;GIA' VIA BALICE.;
092009_001011;VIA DEGLI USIGNOLI;VIA DEL POZZETTO - VIA DEL SOLE;1706;14/05/1975;G.M.;(LUSCINIA MEGARHYNCHOS)UCCELLO PASSERIFORME DELLA FAMIGLIA DEI TURDIDI, MOLTO NOTO PER IL SUO CANTO MELODIOSO. ABITA NEI BOSCHI CEDUI DI PIANURA, NELLE SIEPI E DOVE ESISTE VEGETAZIONE FITTA.;
092009_001012;VIA VAL D'ELSA;VIA LUNIGIANA - VIA PREMUDA;850;27/03/1971;G.M.;VALLE PERCORSA DALL'OMONIMO FIUME (AFFLUENTE DI SIN. DELL'ARNO).;
092009_001013;VIA VALEGGIO;VIA MORELLI - VIA SAN FERMO;4799;16/11/1964;G.M.;GIA TRAVERSA II MORELLI.COMUNE DI VERONA.;
092009_001014;VIA VAL FRENZELA;VIA MONTE SANTO - VIA TOLMINO;2474;09/09/1981;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_001015;VIA DEI VALENZANI;VIALE CIUSA - VIA  DEI CARROZ;850;27/03/1971;G.M.;IN RICORDO DELLE FAMIGLIE VALENZANE CHE DURANTE LA LORO LUNGA PERMANENZA VISSERO NEI PARAGGI.;
092009_001016;VIA VALSASSINA;VIA BARIGADU - VIA MEILOGU;2303;05/07/1968;G.M.;VALLE DELLA PIOVERNA E DEL GRIGNA, DA BALLABIO A TACENO, SEPARANTE IL GRUPPO DELLE GRIGNE DA QUELLO DELLE ALPI OROBIE. IL CENTRO PIU' IMPORTANTE E': INTROBIO.;
092009_001017;VIA VAL VENOSTA;VIA CORNALIAS - VIA MEILOGU;2303;05/07/1968;G.M.;VALLE DELLE SORGENTI DELL'ADIGE (SI ESTENDE FINO A MERANO).;
092009_001018;VIA VALSUGANA;VIA VITTORIO VENETO - (chiuso);2679;29/07/1966;G.M.;VALLE DEL TRENTINO. ANTICAMENTE CHIAMATA BURGUM AUSUGI.;
092009_001019;VIA SILVIO VARDABASSO;VIA PARIGI - (chiuso);276;27/01/1984;G.M.;GEOLOGO, MEDAGLIA D'ORO PER BENEMERENZE CULTURALI.PARTECIPO' AI LAVORI PER LA DETERMINAZIONE DEI NUOVI CONFINI DELL'ITALIA.HA PUBBLICATO IMPORTANTI TESTI SULLA GEOLOGIA.;
092009_001020;VIA VARSAVIA;VIA LISBONA - (chiuso);2303;05/07/1968;G.M.;CAPITALE DELLA POLONIA.;
092009_001021;PIAZZA VASCO DE GAMA;PIAZZA STANLEY - VIALE SANT'ELIA;2160;27/05/1987;G.M.;NAVIGATORE PORTOGHESE. (1469 - 1524);
092009_001022;VIA VENEZIA;VIA DELLA PINETA - VIA CURIE;1429;25/09/1951;G.M.;CITTA' ITALIANA. CAPOLUOGO DEL VENETO.;
092009_001023;VIA VENTI SETTEMBRE;VIALE BONARIA - VIA SIDNEY SONNINO;0;16/11/1891;C.C.;GIA' VIA CAMPO DI MARTE.20 SETTEMBRE 1870 - ENTRATA DELLE TRUPPE ITALIANE IN ROMA, ATTRAVERSO LA BRECCIA DI PORTA PIA.;
092009_001024;VIA VENTIQUATTRO MAGGIO;PIAZZA GARIBALDI - PIAZZA S. DOMENICO;0;09/05/1931;D.P.;DATA, 1915 IN RICORDO DELL'INGRESSO DELL'ITALIA NELLA PRIMA GUERRA MONDIALE.;
092009_001025;VIA VENTOTTO FEBBRAIO;PIAZZA GIOVANNI XXIII - VIA GRANDI;327;26/02/1955;G.M.;DATA IN CUI CAGLIARI VENNE DEVASTATA DA UN BOMBARDAMENTO AEREO NEL 1943.;
092009_001026;VIA 29 NOVEMBRE 1847;VIALE TRIESTE - VIA MAMELI;2365;21/09/1961;G.M.;DATA CHE SANCISCE L'UNIONE DELLA SARDEGNA AL PIEMONTE.;
092009_001027;VIA GIOVANNI BATTISTA VENTURI;VIALE MARCONI - (zona in sviluppo);2785;18/07/1969;G.M.;FISICO EMILIANO.NATO NEL 1746 - MORTO NEL1822.;
092009_001028;VIA GIUSEPPE VERDI;VIA S. BENEDETTO - (strada ferrata);219;03/12/1925;C.P.;MUSICISTA.NATO A RONCOLE (BUSSETO) PARMA - MORTO A MILANO NEL 1901.;
092009_001029;PIAZZA VERDUN;VIA PODGORA - VIA LAGHI MASURI;276;27/01/1984;G.M.;LOCALITA' FRANCESE TEATRO DI GRANDI BATTAGLIE.;
092009_001030;VIA VERGINE DI LLUC;PIAZZA S. BARTOLOMEO - VIALE POETTO;2679;29/07/1966;G.M.;GIA' TRAVERSA SAN BARTOLOMEO.IN ONORE DELL'ANTICA CHIESA CHE SI TROVAVA A FIANCO DI QUELLA DI SAN BARTOLOMEO.;
092009_001031;VIA PAOLO VERONESE;VIA DELLE MUSE - (zona in sviluppo);1706;14/05/1975;G.M.;;
092009_001032;VIA VERSILIA;VIA LIGURIA - VIA MOLISE;3709;18/10/1968;G.M.;GIA' VICO VENETO.;
092009_001033;VIA ANDREA VESALIO;VIA FLAVIO GIOIA - VIA RISORGIMENTO;131;29/01/1980;G.M.;ANATOMISTA FIAMMINGO. INSEGNO' A PADOVA; CONSIDERATO IL FONDATORE DELL'ANATOMIA DESCRITTIVA.;
092009_001034;VIA AMERIGO VESPUCCI;VIA S.BARTOLOMEO - (stadio S.ELIA);850;27/03/1971;G.M.;NAVIGATORE FIORENTINO. ESPLORO' IN DUE VIAGGI, UNO NEL 1499 E NEL 1501 E 1502 LE COSTE MERIDIONALI D'AMERICA, CHE EBBE DA LUI IL SUO NOME.(NATO NEL 1454 - MORTO NEL 1512);
092009_001035;VIA SALVATORE VIDAL;VIA SCANO - VIA DEXART;2365;21/09/1961;G.M.;SCRITTORE DI OPERE DEDICATE ALLA SARDEGNA.VESTI' L'ABITO DEI MINORI OSSERVANTI, STUDIO' IN SPAGNA.VISSUTO NEL XVII SECOLO.(NATO A MARACALAGONIS - MORTO A ROMA);
092009_001036;VIA VIENNA;VIALE G. MARCONI - VIA PARIGI;2303;05/07/1968;G.M.;;
092009_001037;VIA DEI VIGNETI;VIA BELLAVISTA - VIA DELL'EDERA;2365;21/09/1961;G.M.;ZONA DI TERRENO COLTIVATA A VITI.;
092009_001038;VIA DI VILLA GIUSTI;VIA VITTORIO VENETO - (chiuso);2666;13/09/1971;G.M.;IN RICORDO DEL LUOGO DOVE VENNE FIRMATO L'ARMISTIZIO DEL 1915/1918.;
092009_001039;VIA DEI VILLINI;VIA CAPRI - VIA VULCANO;327;26/02/1955;G.M.;;
092009_001040;PIAZZA RUDOLF VIRCHOW;VIA KOCH - (chiuso);2160;27/05/1987;G.M.;;
092009_001041;VIA DEI VISCONTI;VIA GIUD. BENEDETTA - VIA DEI DONORATICO;2365;21/09/1961;G.M.;FAMIGLIA PISANA, FU IMPARENTATA CON I GIUDICI DEL CAGLIARITANO.VISSUTA NEL XIII SECOLO E, CHE EBBE NOTEVOLE IMPORTANZA NELLA STORIA DEL GIUDICATO.;
092009_001042;VIA DELLA VITE;VIA DEI GRILLI - VIA MATES;2679;29/07/1966;G.M.;GENERE DI PIANTE DELLA FAMIGLIA AMPELIDACEE.LA SPECIE PIU' IMPORTANTE E' LA VITIS VINIFERA, PIANTA LEGNOSA RAMPICANTE CON RAMI NODOSI, (TRALCI) FOGLIE PALMINERVIE E FIORI PICCOLI VERDICCI, IN GRAPPOLO.FORSE ORIGINARIA DELL'ASIA MINORE, E' LARGAMENTE COLTIVATA NEL BACINO MEDITERRANEO.;
092009_001043;VIA DEI VITTORINI;VIA DEI CONVERSI - VIA SIVIGLIA;2365;21/09/1961;G.M.;IN RICORDO DEI MONACI BENEDETTINI.;
092009_001044;CORSO VITTORIO EMANUELE SECONDO;PIAZZA YENNE - VIALE LUIGI MERELLO;;;;GIA' CONTRADA SAN FRANCESCO DA PIAZZA YENNE A VIA SASSARI. GIA' VIA DEI FERRAI DA VIA SASSARI A VIA CAPRERA. GIA' VIA DEL BORGO DA VIA CAPRERA A VIA VIALE MERELLO. RE D'ITALIA E PADRE DELLA PATRIA (1820 - 1878);
092009_001045;VIA VITTORIO VENETO;VIALE LUIGI MERELLO - VIALE TRENTO;219;03/12/1925;C.P.;;
092009_001046;PORTICO VIVALDI PASQUA;VIA LAMARMORA - VIA GENOVESI;;;;;
092009_001047;VIA FILIPPO VIVANET;VIA PESSINA - VIA LORU;5299;10/12/1987;G.M.;ARCHEOLOGO.;
092009_001048;VIA VINCENZO VIVIANI;VIA DEL TRICOLORE - VIA DEL TRICOLORE;2666;13/09/1971;G.M.;MATEMATICO, DISCEPOLO DI GALILEO GALILEI E TORRICELLI.(NATO NEL 1622 - MORTO NEL 1703);
092009_001049;VIA ALESSANDRO VOLTA;VIA FLAVIO GIOIA - (campo);2679;29/07/1966;G.M.;FISICO.(NATO A COMO NEL 1745 - MORTO A COMO NEL 1827);
092009_001050;VIA VOLTURNO;VIA ISONZO - VIA PIAVE;219;03/12/1925;C.P.;FIUME D'ITALIA.;
092009_001051;VIA VULCANO;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;;
092009_001052;VIA JAMES WATT;VIA DELLA RESISTENZA - VIA FOSSE ARDEATINE;131;29/01/1980;G.M.;INGEGNERE SCOZZESE, CONSIDERATO IL CREATORE DELLA MOTRICE A VAPORE ALTERNATIVO.IL SUO NOME E' STATO DATO ALL'UNITA' DI POTENZA: WATT.(NATO NEL 1736 - MORTO NEL 1819);
092009_001053;VIA ZAGABRIA;VIA COSTANTINOPOLI - (zona in sviluppo);850;27/03/1971;G.M.;;
092009_001054;VIA ZARA;VIALE TRENTO - VIA VITTORIO VENETO;219;03/12/1925;C.P.;;
092009_001055;VIA ZEFFIRO;VIA EURO - VIA LIBECCIO;4799;16/11/1964;G.M.;;
092009_001056;VIA ANTIOCO ZUCCA;VIA SU PLANU - (chiuso);2160;27/05/1987;G.M.;;
092009_001057;VIA GERONIMO ZURITA;VIA DELLA PINETA - VIA BESTA;2365;21/09/1961;G.M.;STORICO, SCRITTORE. FU CRONISTA DEGLI STATI ARAGONESI E SCRISSE UN'OPERA STORICA ANNALES DE LA CORONA DE ARAGON, L'OPERA COMPRENDE ANCHE LA STORIA DELL'ISOLA NEL PERIODO DELLA DOMINAZIONE ARAGONESE.( MORTO NEL 1580);
092009_001058;SCALO ALAGGIO;VIA DEI CALAFATI - (canale);;;;;
092009_001059;CALATA AZUNI;CALATA S.AGOSTINO - PONTILE SANITA;;;;;
092009_001060;MOLO BONARIA;CALATA TRINITARI - CALATA DELLA FIERA;;;;;
092009_001061;PONTE VITTORIO;VIALE DIAZ - VIALE POETTO;;;;;
092009_001062;BANCHINA CARBONI;BANCHINA PARODO - CALATA TRINITARI;;;;;
092009_001063;PIAZZA DARSENA;PONTILE DELLA DOGANA - MOLO CAPITANERIA;129;15/12/1900;G.M.;.;
092009_001064;MOLO DOGANA;CALATA VIA ROMA - CALATA DARSENA;;;;AMMINISTRAZIONE ISTITUITA PER RISCUOTERE I DAZI.;
092009_001065;CALATA FIERA;CALATA TRINITARI - CALATA DEI MERCEDARI;;;;;
092009_001066;BANCHINA GARAU;BANCHINA ICHNUSA - BANCHINA PARODO;;;;;
092009_001067;BANCHINA ICHNUSA;MOLO CAPITANERIA - BANCHINA PARODO;;;;;
092009_001068;MOLO VECCHIO LEVANTE;DA BANCHINA ICHNUSA - A MARE;;;;;
092009_001069;MOLO NUOVO LEVANTE;DA BANCHINA S. BARTOLOMEO - A MARE;;;;DENOMINAZIONE TRADIZIONALE.;
092009_001070;CALATA DEI MERCEDARI;CALATA DELLA FIERA - BANCHINA S.BARTOLOMEO;;;;TOPONIMO PORTUALE.;
092009_001071;BANCHINA PARODO;BANCHINA GARAU - BANCHINA CARBONI;;;;;
092009_001072;CALATA PONENTE;MOLO RINASCITA - MOLO SABAUDO;;;;;
092009_001073;MOLO RINASCITA;DA CALATA DI PONENTE - A MARE;;;;;
092009_001074;CALATA ROMA;PONTILE SANITA' - PONTILE DELLA DOGANA;;;;;
092009_001075;MOLO DELLA SANITA';CALATA VIA ROMA - CALATA AZUNI;;;;;
092009_001076;MOLO SANT'AGOSTINO;MOLO SABAUDO - CALATA AZUNI;;;;IL MASSIMO FRA I PADRI DELLA CHIESA.NEL 387 RICEVETTE IL BATTESIMO DA SANT'AMBROGIO. CONSACRO' TUTTO ALLA CHIESA, CON LA PREDICAZIONE, GLI SCRITTI FILOSOFICI, CON LE RIFORME DISCIPLINARI, MONASTICHE E, CON BATTAGLIE ANTIERETICHE.(NATO A TAGASTE NUMIDIA NEL 354 - MORTO NEL 430);
092009_001077;BANCHINA SAN BARTOLOMEO;CALATA DEI MERCEDARI - CANALE SAN BARTOLOMEO;;;;;
092009_001078;MOLO SANT'ELMO;CALATA DELLA FIERA - CALATA DEI MERCEDARI;;;;;
092009_001080;CALATA DEI TRINITARI;BANCHINA PARODO - CALATA DELLA FIERA;;;;;
092009_001081;VIA STEFANO EFISIO GRAMIGNANO;VIA BARRACCA MANNA - VIA DELLA MENTA;276;27/01/1984;G.M.;;
092009_001082;VIA GUGLIELMO MARCONI;VIA CAVARO - (Confine Comune QUARTU S.ELENA);1429;25/09/1951;G.M.;INVENTORE DELLA TELEGRAFIA SENZA FILI. PREMIO NOBEL NEL 1909. (NATO A BOLOGNA NEL 1874 - MORTO A ROMA NEL 1937);
092009_001083;VIA DELL'ARTIGIANATO;VIALE ELMAS - (Confine Comune ELMAS);1706;14/05/1975;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_001084;VIA DELL'INDUSTRIA;VIALE ELMAS - (chiuso);1706;14/05/1975;G.M.;FORMA QUALSIASI DI OPEROSITA' CHE RIELABORA LA MATERIA GREZZA.;
092009_001085;VIA DEL LAVORO;VIALE ELMAS - (chiuso);1706;14/05/1975;G.M.;FATTORE PRODUTTIVO.;
092009_001086;VIA GIROLAMO IMPARATO;VIA DELL'OLEANDRO - CHIUSO;850;27/03/1971;G.M.;PITTORE;
092009_001087;VIALE MONASTIR;PIAZZA S. AVENDRACE - (Confine Comune ELMAS);;;;COMUNE DELLA SARDEGNA, IN PROVINCIA DI CAGLIARI.;
092009_001088;VIA MONTECASSINO;VIA SANTA MARIA CHIARA - VIA DEI TIGLI;2365;21/09/1961;G.M.;GIA' STRADA COMUNALE SANTU MIALI. MONTE NEL COMUNE DI CASSINO (FROSINONE).;
092009_001089;SCALETTE SAN GIORGIO;VIA OSPEDALE - VIA SANTA RESTITUTA;;;;;
092009_001090;VIA SANTA CROCE;PIAZZA SAN GIUSEPPE - VIA DEI GENOVESI;;;;GIA' VICO DEI GIUDEI.;
092009_001091;SCALETTE SANTA MARGHERITA;VIA SANTA MARGHERITA - VIA CAMMINO NUOVO;;;;;
092009_001092;PIAZZA SANT'AVENDRACE;VIALE S.AVENDRACE - VIALE ELMAS;;;;;
092009_001094;VIA ISOLA TAVOLARA;VIALE TRIESTE - VIA MALTA;4799;16/11/1964;G.M.;PICCOLA ISOLA DELLA COSTA NORD ORIENTALE DELLA SARDEGNA.;
092009_001095;ZONA SCAFFA VILLAGGIO PESCATORI;VIALE PULA - (chiuso);;;;;
092009_001096;PIAZZETTA SAVOIA;VIA SAVOIA - VIA DETTORI;129;15/12/1900;G.M.;.;
092009_001097;COLLE DEI PUNICI;(chiuso) - VIA BAINSIZZA;;;;;
092009_001098;VIA IS MIRRIONIS;PIAZZA D'ARMI - PIAZZA S.MICHELE;83;27/12/1956;C.C.;DENOMINAZIONE TRADIZIONALE.;
092009_001099;VICO ALESSANDRO TERZO;VIA ALESSANDRO III - VIA CORRIDONI;;;;;
092009_001100;VICO VITTORIO AMEDEO SECONDO;VIA VITTORIO AMEDEO II - (chiuso);;;;;
092009_001101;VICO ANTONIO IGNAZIO ARGIOLAS;VIA ARGIOLAS - (chiuso);;;;;
092009_001102;VICO ARNO;VIA ARNO - VIA ADIGE;;;;;
092009_001103;VICO LODOVICO BAYLLE;VIA BAYLLE - LARGO CARLO FELICE;129;15/12/1900;G.M.;.;
092009_001104;VICO PRIMO BALILLA;VIA BALILLA - (chiuso);;;;;
092009_001105;VICO SECONDO BALILLA;VIA BALILLA - (chiuso);;;;;
092009_001106;VICO TERZO BALILLA;VIA BALILLA - (chiuso);;;;;
092009_001107;VICO QUARTO BALILLA;VIA BALILLA - VIA SOCRATE;;;;;
092009_001108;VICO QUINTO BALILLA;VIA BALILLA - VIA SOCRATE;;;;;
092009_001109;VICO SESTO BALILLA;VIA BALILLA - VIA SOCRATE;;;;;
092009_001110;VICO SETTIMO BALILLA;VIA BALILLA - VIA SOCRATE;;;;;
092009_001111;VICO BARCELLONA;VIA BARCELLONA - VIA SAVOIA;;;;;
092009_001112;VICO CAMPIDANO;VIA CAMPIDANO - VIALE COLOMBO;;;;;
092009_001113;VICO CARLO FELICE;LARGO CARLO FELICE - VIA G.M. ANGIOY;;;;;
092009_001114;VICO PRIMO CARLOFORTE;VIA CARLOFORTE - (chiuso);;;;;
092009_001115;VICO SECONDO CARLOFORTE;VIA CARLOFORTE - (chiuso);;;;;
092009_001116;TRAVERSA FRANCESCO CARRARA;VIA CARRARA - (chiuso);;;;;
092009_001117;VICO PRIMO CHIESA;VIA CHIESA - (chiuso);;;;;
092009_001118;VICO DEL COLLEGIO;VIA DEL COLLEGIO - VIA S.EULALIA - PIAZZA DETTORI;129;15/12/1900;G.M.;.;
092009_001119;VICO CONTE VERDE;VIA CONTE VERDE - (chiuso);;;;;
092009_001120;VICO ARMANDO DIAZ;VIALE DIAZ - (chiuso);;;;;
092009_001121;VICO GIUSEPPE GARIBALDI;VIA GARIBALDI - VIA S.DOMENICO;;;;;
092009_001122;VICO PRIMO DEI GENOVESI;VIA DEI GENOVESI - PIAZZA S.GIUSEPPE;129;15/12/1900;G.M.;GIA' VICO DELL' ELEFANTE.;
092009_001123;VICO SECONDO DEI GENOVESI;VIA DEI GENOVESI - VIA STRETTA;129;15/12/1900;G.M.;GIA' VICO ANIME DEL PURGATORIO.;
092009_001124;VICO TERZO DEI GENOVESI;VIA DEI GENOVESI - VIA CORTE D'APPELLO;129;15/12/1900;G.M.;.;
092009_001125;VICO GIULIO SECONDO;VIA GIULIO II - (chiuso);;;;;
092009_001126;VICO PRIMO LANUSEI;VIA LANUSEI - VICO II LANUSEI;;;;;
092009_001127;VICO SECONDO LANUSEI;VIA LANUSEI - (chiuso);;;;;
092009_001128;VICO TERZO LANUSEI;VICO I LANUSEI - VIA LANUSEI;;;;;
092009_001129;VICO PRIMO LA PLAIA;VIALE LA PLAIA - RIVA DI PONENTE;129;15/12/1900;G.M.;.;
092009_001130;VICO SECONDO LA PLAIA;VIALE LA PLAIA - (chiuso);129;15/12/1900;G.M.;.;
092009_001131;VICO TERZO LA PLAIA;(chiuso) - VIA SA PERDIXEDDA;129;15/12/1900;G.M.;.;
092009_001132;TRAVERSA PRIMA LA PLAIA;VIA LA PLAIA - VIA RIVA DI PONENTE;;;;;
092009_001133;VICO LA VEGA;VIA LA VEGA - (chiuso);;;;;
092009_001134;VICO LOGUDORO;VIA LOGUDORO - VIA GOCEANO;;;;;
092009_001135;VICO DEI MALASPINA;VIA MALASPINA - (chiuso);;;;;
092009_001136;VICO MALTA;PIAZZA DEL CARMINE - (chiuso);;;;;
092009_001137;VICO GIUSEPPE MANNO;VIA MANNO - SCALETTE S.SEPOLCRO;;;;;
092009_001138;VICO PIETRO MARTINI;VIA MARTINI - VIA DEI GENOVESI;;;;;
092009_001139;VICO PRIMO LUIGI MERELLO;VIALE MERELLO - (chiuso);;;;;
092009_001140;VICO SECONDO LUIGI MERELLO;VIALE MERELLO - (chiuso);;;;;
092009_001141;VICO TERZO LUIGI MERELLO;VIALE MERELLO - (chiuso);;;;;
092009_001142;VICO DEI MILLE;VIA DEI MILLE - (chiuso);;;;;
092009_001143;VICO MONTELEONE;VIA MONTELEONE - (chiuso);;;;;
092009_001144;VICO NUORO;VIA NUORO - (chiuso);;;;;
092009_001145;VICO PRIMO PRINCIPE DI CARIGNANO;VIA PRINCIPE DI CARIGNANO - (chiuso);;;;;
092009_001146;VICO SECONDO PRINCIPE DI CARIGNANO;VICO I PRINCIPE DI CARIGNANO - (chiuso);;;;;
092009_001147;VICO REGINA MARGHERITA;PIAZZA REGINA MARGHERITA - VIA LANUSEI;;;;;
092009_001148;VICO PRIMO DEL RISORGIMENTO;VIA RISORGIMENTO - (chiuso);;;;;
092009_001149;VICO SECONDO DEL RISORGIMENTO;VIA RISORGIMENTO - (chiuso);;;;;
092009_001150;VICO PRIMO ALBERTO RIVA VILLASANTA;VIA RIVA VILLASANTA - (chiuso);;;;;
092009_001151;VICO SECONDO ALBERTO RIVA VILLASANTA;VIA RIVA VILLASANTA - (chiuso);;;;;
092009_001152;VICO PRIMO RIVA DI PONENTE;VIA RIVA DI PONENTE - (chiuso);;;;;
092009_001153;VICO PRIMO BARONE ROSSI;VIA BARONE ROSSI - VIA NUORO;;;;;
092009_001154;VICO SECONDO BARONE ROSSI;VIA BARONE ROSSI - VIA NUORO;;;;;
092009_001155;VICO PRIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA PICCIONI;;;;;
